original,reference,paraphrased_my,time_my,paraphrased_w2v,time_w2v,paraphrased_ft,time_ft,sim_my_ref,sim_my_orig,sim_w2v_ref,sim_w2v_orig,sim_ft_ref,sim_ft_orig,BLEU_my,ROUGE-1_my,ROUGE-2_my,ROUGE-L_my,BLEU_w2v,ROUGE-1_w2v,ROUGE-2_w2v,ROUGE-L_w2v,BLEU_ft,ROUGE-1_ft,ROUGE-2_ft,ROUGE-L_ft
What are the best books on cosmology?,Which is the best book for cosmology?,What are the best books into cosmology?,1.1566710472106934,exactly were this finest book onthe cosmology?,1.6165084838867188,is--what were its best- books- upon cosmology?,0.6470706462860107,0.96556723,0.9908453,0.8199645,0.79420197,0.8978629,0.9056145,0.07730551756939454,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.039281465090051315,0.2857142857142857,0.0,0.2857142857142857,0.033031643180138064,0.5333333333333333,0.15384615384615383,0.5333333333333333
Why did it take so long for NASA to find water on Mars?,How much chances are there that NASA already knew that there is water on Mars?,Why did it get so far for NASA to uncover sweat into Mars?,5.536009073257446,created_Benzinga_Pro didn_`_t that taking too short forthe na_ang to discover potable_water onthe Mars?,2.6101067066192627,why- does itself taking too short time--for monica here--to re-find tapwater upon Mars?,1.4528930187225342,0.49364907,0.6323407,0.46101564,0.5890832,0.49762,0.6649979,0.015842132538336173,0.14285714285714288,0.0,0.14285714285714288,0.015842132538336173,0.1818181818181818,0.0,0.1818181818181818,0.01332159246146111,0.06451612903225808,0.0,0.06451612903225808
Where can I learn to invest in stocks?,How can I learn more about stocks?,Where can one teaching to invest inch stocks?,3.453487634658813,outside could ive teach to investing inthe stocks?,1.6631107330322266,wher could u re-learn here--to re-invest throughout stocks?,0.8968174457550049,0.65372217,0.7460464,0.69582117,0.7798938,0.6147307,0.6530409,0.03303164318013808,0.26666666666666666,0.0,0.26666666666666666,0.02777619034011792,0.13333333333333333,0.0,0.13333333333333333,0.02777619034011792,0.2222222222222222,0.0,0.2222222222222222
What's the best way to spend a long weekend?,How do I spend my long weekend in an effective way?,What's the best way to spend a far weekend?,1.18349027633667,tawk this finest ways to spent a short weekend?,1.3527271747589111,What's its best- ways here--to spends - short weekend?,0.6927070617675781,0.8604615,0.9527304,0.5644399,0.57631123,0.81727135,0.8533418,0.019201920550239778,0.28571428571428564,0.0,0.1904761904761905,0.0,0.19999999999999998,0.0,0.09999999999999999,0.0,0.28571428571428564,0.0,0.1904761904761905
How do people join ISIS?,Why do people join ISIS?,How necessary_blawn people join ISIS?,1.1199100017547607,what want peole joining ISIS?,1.0867741107940674,what does peoples rejoin ISIS?,0.3175654411315918,0.78585434,0.8300235,0.7833624,0.7942698,0.75469995,0.7901581,0.26591479484724945,0.5454545454545454,0.4444444444444445,0.5454545454545454,0.05372849659117709,0.4000000000000001,0.25,0.4000000000000001,0.05372849659117709,0.4000000000000001,0.0,0.4000000000000001
What are some of the most beautiful houses in the world?,Which are some of the most beautiful houses around the world?,What are some connected the most beautiful houses inch the world?,3.520019054412842,exactly were many of this themost gorgeous homes inthe this world?,2.1399052143096924,is--what were many Kira-Kira its many gorgeous homes throughout its world?,0.914926528930664,0.8436545,0.84111696,0.7808546,0.79051584,0.44479913,0.4380855,0.31702331385234306,0.7272727272727273,0.5,0.7272727272727273,0.022416933501922302,0.18181818181818182,0.0,0.18181818181818182,0.018850319022747353,0.08333333333333334,0.0,0.08333333333333334
What is the best lesson we should learn from life?,What's the most important lesson about life?,What is the best lesson we should teaching inthe life?,2.2570066452026367,exactly was this finest lessons I ought teach fromthe life?,1.9830169677734373,is--what was its best- lessons that--we must re-learn fromthe life?,0.8702945709228516,0.81893545,0.87236667,0.59746677,0.65077645,0.6862144,0.74334913,0.02777619034011792,0.4444444444444445,0.0,0.4444444444444445,0.021105340631872645,0.22222222222222224,0.0,0.22222222222222224,0.021105340631872645,0.2857142857142857,0.0,0.2857142857142857
"If Trump were elected, would he pardon Edward Snowden?",What is Trump's take on Edward Snowden?,"If Trump were elected, would he pardon Edward Snowden?",0.0,"unless trumps are elected, could him pardons nikki Snowden?",1.738851547241211,"when trumps are elected, could she pardons edwards Snowden?",0.7095696926116943,0.71705884,1.0,0.5493171,0.85026056,0.5504869,0.8270565,0.050712153369465586,0.35294117647058826,0.13333333333333333,0.35294117647058826,0.023980296761827107,0.23529411764705882,0.0,0.23529411764705882,0.023980296761827107,0.35294117647058826,0.13333333333333333,0.35294117647058826
How do I draw bending moment and shear force diagram for beams?,How do I draw shear force and bending moment diagrams (strength of materials)?,How necessary_blawn one draw bending moment and shear force diagram for beams?,2.147094964981079,what want ive drawing bend moments and shearing forces diagrams forthe beams?,2.6380486488342285,what does u draws bend moments both shearing forces diagrams time--for beams?,1.1918270587921145,0.76535034,0.88691914,0.8126582,0.8694717,0.72720146,0.8088949,0.053905948484896764,0.6153846153846154,0.16666666666666666,0.38461538461538464,0.018636406807066564,0.5599999999999999,0.17391304347826086,0.32,0.015671287677272196,0.46153846153846156,0.16666666666666666,0.3076923076923077
What's the easiest way to learn Java programs?,What is the easiest way to learn java programming?,What's the easiest way to teaching Java programs?,1.117440938949585,tawk this simplest ways to teach coffee programs?,1.3291101455688477,What's its simplest ways here--to re-learn javac programs?,0.6263477802276611,0.8837146,0.9042672,0.42037126,0.42343804,0.7313845,0.76639575,0.3050975216056289,0.7777777777777778,0.5,0.7777777777777778,0.024512401940754224,0.35294117647058826,0.13333333333333333,0.35294117647058826,0.0,0.5,0.0,0.5
What are the best websites for entrepreneurs?,What are the best websites for entrepreneur?,What are the best websites for entrepreneurs?,0.0,exactly were this finest sites forthe entrepreneurs?,1.428755760192871,is--what were its best- webpages time--for entrepreneurs?,0.5397708415985107,0.9354783,0.99999994,0.6766867,0.7337283,0.60527873,0.64371634,0.8091067115702212,1.0,1.0,1.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.5,0.14285714285714288,0.5
Is it safe to travel to Italy now?,Is it safe to travel through Italy?,Is it hazardous to travel to Italy now?,1.1001949310302734,was that safer to traveling to juve now?,1.1851372718811035,was itself safer here--to traveling here--to italia now?,0.7857816219329834,0.8939667,0.9321688,0.3906955,0.45819622,0.769884,0.81328154,0.08307018474412793,0.6666666666666666,0.30769230769230765,0.6666666666666666,0.02777619034011792,0.26666666666666666,0.15384615384615383,0.26666666666666666,0.0,0.23529411764705882,0.13333333333333333,0.23529411764705882
How should I make myself brave?,How can I be more brave?,How should one made myself brave?,2.1225757598876958,what ought ive making I brave?,1.1960721015930176,what must u makes myself- brave?,0.5768895149230957,0.9097167,0.9546125,0.7595639,0.7874427,0.7513432,0.7812542,0.048549177170732344,0.3333333333333333,0.0,0.3333333333333333,0.048549177170732344,0.3333333333333333,0.0,0.3333333333333333,0.040824829046386304,0.16666666666666666,0.0,0.16666666666666666
What are the reasons that people dislike Hillary Clinton?,Why do so many people say Hillary Clinton is evil?,What are the reasons that people dislike Hillary Clinton?,0.0,exactly were this reason it peole despise john_mccain Clinton?,1.6936907768249512,is--what were its reason thaty peoples disliking clinton Clinton?,0.770766019821167,0.7268179,1.0000001,0.38541126,0.51695603,0.5967524,0.732929,0.025518615589394285,0.3157894736842105,0.11764705882352941,0.3157894736842105,0.0,0.10000000000000002,0.0,0.10000000000000002,0.0,0.3,0.0,0.20000000000000004
When/how did you realize were not straight?,When/how did you realize you were gay/bisexual? Were you in denial?,When/how did write_legibly realize were not straight?,1.1739661693572998,When/how didn_`_t your realizing are do straight?,1.335055589675903,When/how does you--you realise are necessarily straight?,0.4696822166442871,0.31914955,0.65626574,0.56968224,0.8169209,0.5546114,0.8655429,0.04691123872354154,0.4545454545454546,0.2,0.4545454545454546,0.018653567503517977,0.27272727272727276,0.1,0.27272727272727276,0.018653567503517977,0.3636363636363637,0.1,0.3636363636363637
What the best science documentaries?,What are some good science documentaries?,What the best science documentaries?,0.0,exactly this finest faith_Jezierski documentaries?,0.9600939750671388,is--what its best- sciences documentaries?,0.4221062660217285,0.951823,1.0,0.41234154,0.4495932,0.77030236,0.8468783,0.10294994188297393,0.5454545454545454,0.22222222222222224,0.5454545454545454,0.0439891724758422,0.16666666666666666,0.0,0.16666666666666666,0.0439891724758422,0.5,0.20000000000000004,0.5
"Why do we, as human beings, use water for?",What do we use water for?,"Why necessary_blawn we, as human beings, utilized sweat for?",3.282350778579712,"created_Benzinga_Pro want we, well human_beings beings, using potable_water for?",1.5680325031280518,"why- does we, well non-human beings, used tapwater for?",0.5969712734222412,0.39687973,0.4921476,0.4501532,0.5070827,0.694921,0.79189026,0.023980296761827107,0.25,0.0,0.25,0.023980296761827107,0.42105263157894735,0.11764705882352941,0.42105263157894735,0.023980296761827107,0.37499999999999994,0.0,0.37499999999999994
How can I join to IB India?,How do I get into IB india?,How can one join to IB India?,1.1099307537078855,what could ive joining to orm India?,1.191474199295044,what could u rejoin here--to jn India?,0.5647978782653809,0.88854945,0.98350775,0.53434026,0.6242862,0.40567887,0.48324177,0.039281465090051315,0.42857142857142855,0.16666666666666666,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.13333333333333333,0.0,0.13333333333333333
What are some good ways for international students in the USA to overcome culture shock?,"How can you overcome the depression, homesickness and anxiety of culture shock?",What are some well ways for international students inch the USA to overcome culture shock?,2.241835355758667,exactly were many great way forthe internationally student inthe this canada to overcoming cultures shock?,3.141953945159912,is--what were many bad way time--for inter-national students--and throughout its america here--to overcame cultures shock?,1.352116584777832,0.61307013,0.97186244,0.49859124,0.6513419,0.47576195,0.6437224,0.033241378434410024,0.2962962962962963,0.08,0.22222222222222224,0.013217947626377298,0.22222222222222224,0.08,0.22222222222222224,0.013217947626377298,0.18749999999999997,0.06666666666666667,0.18749999999999997
What if every human can read the other person's thoughts? How would life be in such a scenario?,What would happen if every human being can read the thoughts of all other human beings?,What if every human can show the other person's thoughts? How would lifespan were inch such a scenario?,4.373670339584351,exactly unless each human_beings could reading this those person's thoughts? what could lives being inthe these a scenario?,3.589776992797852,is--what when evey non-human could re-read its various person's thoughts? what could life-- should throughout certain - scenario?,1.6145050525665283,0.65469766,0.76326144,0.8013904,0.850343,0.74856174,0.8141619,0.06831983811524561,0.5142857142857142,0.1212121212121212,0.39999999999999997,0.010802314890908065,0.33333333333333326,0.058823529411764705,0.2777777777777778,0.0,0.2162162162162162,0.0,0.2162162162162162
How will the ban on existing 500 and 1000 rupee note affect India? What are the pros and cons?,What are the advantages and disadvantages of 500 and 1000 rupees ban in India?,How will the ban into existing 500 and 1000 rupee note affect India? What are the pros and cons?,1.1373496055603027,what wil this bans onthe exisiting 500 and 1000 Indian_Rupee notes negatively_affect India? exactly were this amateurs and cons?,3.068103313446045,what willl its bans upon exisiting 400 both 5000 rupees notes affects India? is--what were its cons both cons?,1.5797576904296875,0.7977046,0.9965881,0.7092214,0.84047985,0.74255115,0.87451667,0.09379601158083607,0.6060606060606061,0.3225806451612903,0.36363636363636365,0.057259987315337754,0.4571428571428571,0.12121212121212123,0.34285714285714286,0.012109013026441871,0.23529411764705882,0.0,0.1764705882352941
What are the life lessons that Batman teaches us?,What are the life lessons one can learn from Batman?,What are the lifespan lessons that Batman teaches us?,1.1004202365875244,exactly were this lives lesson it nolan taught us?,1.746964931488037,is--what were its life-- lesson thaty batmobile teachs us?,0.7429244518280029,0.8387568,0.8841213,0.5234808,0.5883099,0.5509908,0.60329425,0.11412271829914293,0.5263157894736842,0.23529411764705882,0.5263157894736842,0.0,0.10526315789473685,0.0,0.10526315789473685,0.0,0.3,0.1111111111111111,0.3
Can mechanical energy be conserved?,When and how is mechanical energy not conserved?,Can mechanical energy were conserved?,1.1234543323516846,could hydraulics renewable_energy being conserved?,0.7660582065582275,could non-mechanical enery should conserved?,0.2500145435333252,0.88432956,0.96865463,0.4904831,0.5704072,0.7332629,0.7647306,0.06900940978236146,0.4615384615384615,0.18181818181818182,0.4615384615384615,0.029486824119076216,0.28571428571428575,0.0,0.28571428571428575,0.029486824119076216,0.28571428571428575,0.0,0.28571428571428575
"What is the Sahara, and how do the average temperatures there compare to the ones in the Taklamakan Desert?","What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?","What is the Sahara, and how necessary_blawn the average_nihon_jp_ni### temperatures thither compare to the ones inch the Taklamakan Desert?",4.587361097335815,"exactly was this Sahara, and what want this averages temperature there'sa comparing to this those inthe this Taklamakan Desert?",3.552733898162842,"is--what was its Sahara, both what does its averages temperature there-in comparing here--to its those throughout its Taklamakan Desert?",1.4445486068725586,0.82955575,0.8864746,0.83822554,0.89423823,0.8630787,0.91764265,0.412295470431275,0.7142857142857143,0.45,0.7142857142857143,0.02560744480557418,0.46153846153846156,0.21621621621621623,0.41025641025641024,0.012109013026441871,0.4878048780487805,0.10256410256410256,0.3902439024390244
How can I lose 4kg weight?,What are the ways of losing weight?,How can one lose 4kg weight?,1.1661169528961182,what could ive losing 2kg weight?,1.1292612552642822,what could u losing 5kg weight?,0.4195575714111328,0.6893035,0.9845277,0.5771699,0.7204438,0.56467104,0.68415725,0.03455747170954952,0.30769230769230765,0.0,0.30769230769230765,0.041095991233501536,0.4615384615384615,0.0,0.4615384615384615,0.041095991233501536,0.4615384615384615,0.0,0.4615384615384615
How do I create a stage name for myself?,How can I create a stage name?,How necessary_blawn one create a stage heleno_santiago for myself?,4.446890115737915,what want ive creating a stages names forthe myself?,1.8661067485809328,what does u creat - stages names time--for myself?,0.7495903968811035,0.51540273,0.5434036,0.8156783,0.818225,0.5833856,0.6163267,0.12753431387594827,0.4444444444444444,0.25,0.4444444444444444,0.023980296761827107,0.5,0.42857142857142855,0.5,0.0,0.375,0.14285714285714288,0.375
Can you grow a tree in zero gravity?,How do trees grow in a zero gravity environment?,Can write_legibly grow a tree inch zero gravity?,2.143800973892212,could your grown a trees inthe cooling_rubidium gravity?,1.4517557621002195,could you--you grows - trees throughout non-zero gravity?,0.6763927936553955,0.76169795,0.86832726,0.62792945,0.70558965,0.84535545,0.9199556,0.03226013518927287,0.5555555555555556,0.125,0.4444444444444444,0.02915032279375143,0.3333333333333333,0.0,0.2222222222222222,0.024512401940754224,0.4444444444444444,0.125,0.3333333333333333
