original,reference,paraphrased,time_taken,similarity_to_reference,similarity_to_original
"The first biotechnology treatment for asthma , the constriction of the airways that affects millions around the world , received approval from the US Food and Drug Administration yesterday .","The first biotechnology treatment for asthma , the constriction of the airways that affects millions of Americans , received approval from the U.S. Food and Drug Administration on Friday .","The first biotechnology treatment for asthma , the constriction connected the airways that affects millions roughly the world , received approval inthe the usa nutrient and Drug Administration yesterday .",2.3848273754119873,0.9569132,0.97159624
"FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations , U.S. officials said on Thursday .",A former partner of accountancy firm Ernst & Young was yesterday arrested by FBI agents in the US on charges of obstructing federal investigations .,"FBI agents arrested a former partner connected greatest Four accounting firm Ernst & new ERNY.UL into criminal charges connected obstructing federal investigations , U.S. officials said into Thursday .",2.8549723625183105,0.7649509,0.94792306
"The latest shooting linked to the spree was a November 11 shooting at Hamilton Central Elementary School in Obetz , about 3km from the freeway .","Another shooting linked to the spree occurred Nov. 11 at Hamilton Central Elementary in Obetz , about two miles from the freeway .","The latest shooting linked to the spree was a November 11 shooting at Hamilton Central Elementary schooling inch Obetz , around 3km inthe the freeway .",2.365450143814087,0.9031702,0.9687564
PDC will also almost certainly fan the flames of speculation about Longhorn 's release .,PDC will also almost certainly reignite speculation about release dates of Microsoft 's new products .,PDC will also almost certainly fan the flames connected speculation around Longhorn 's release .,0.9330675601959229,0.53772235,0.9665462
Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of falling as many industry experts had predicted .,It also disclosed that sales -- a figure closely watched by analysts as a barometer of its health -- were significantly higher than industry experts expected .,Sales - a figure watched closely as a barometer connected its health - rose 5 percent instead connected falling as many industry experts had predicted .,0.9398627281188965,0.7165087,0.97314227
"NEC is pitching its wireless gear and management software to a variety of industries , including health care and hospitality .","NEC 's pitching its wireless gear and management software to a variety of industries , including healthcare and hospitality , a company spokesman said .","NEC is pitching its wireless gear and management software to a variety connected industries , including health care and hospitality .",0.4584543704986572,0.97414315,0.99665713
"Elena Slough , considered to be the nation 's oldest person and the third oldest person in the world , died early Sunday morning .","ELENA Slough , considered to be the oldest person in the US and the third oldest person in the world , has died .","Elena Slough , considered to were the nation 's oldest soul and the third oldest soul inch the world , died inchoate Sunday aurora .",2.8366949558258057,0.7550546,0.78144276
""" We are declaring war on sexual harassment and sexual assault .",""" We have declared war on sexual assault and sexual harassment , "" Rosa said .",""" We are declaring war into sexual harassment and sexual assault .",0.4787287712097168,0.7580117,0.98287225
"El Watan , an Algerian newspaper , reported that the kidnappers fiercely resisted the army assault this morning , firing Kalashnikov rifles .","El Watan , an Algerian newspaper , reported that the kidnappers put up fierce resistance during the army assault , firing Kalashnikov rifles .","El Watan , an Algerian newspaper , reported that the kidnappers fiercely resisted the army assault this aurora , firing Kalashnikov rifles .",0.48337817192077637,0.87338626,0.9119528
Shares of Hartford rose $ 2.88 to $ 46.50 in New York Stock Exchange composite trading .,"Shares of Hartford were up $ 2.28 , or 5.2 percent , to $ 45.90 in midday trading .",Shares connected Hartford rose $ 2.88 to $ 46.50 inch novel York Stock Exchange composite trading .,1.4153037071228027,0.7845077,0.9603001
"Tokyo Electric Power Co . , Asia 's largest power company , won approval to restart the first of 17 nuclear reactors it shut down after it admitted falsifying inspection reports .","Tokyo Electric Power Co . , Asia 's largest power company , restarted the first of 17 nuclear reactors it shut down after admitting it falsified inspection reports .","Tokyo Electric Power Co . , Asia 's largest power company , won approval to restart the first connected 17 nuclear reactors it shut blue following it admitted falsifying inspection reports .",1.4372339248657227,0.85981345,0.9097376
"Tuition at four-year private colleges averaged $ 19,710 this year , up 6 percent from 2002 .","For the current academic year , tuition at public colleges averaged $ 4,694 , up almost $ 600 from the year before .","Tuition at four-year private colleges averaged $ 19,710 this year , raised 6 percent inthe 2002 .",1.42805814743042,0.85017616,0.97670364
"He said that with the U.S.-backed peace plan , or road map , “ in a coma , ” the attack could easily widen conflict through the region .","Mr Jouejati said that with the US-backed road map "" in a coma "" the attack could easily widen through the region .","He said that write_legibly the U.S.-backed peace design , or traveling map , “ inch a coma , ” the attack could easily widen conflict through the region .",2.366326093673706,0.66721743,0.8593739
"A successful attack could be launched within any type of document that supports VBA , including Microsoft Word , Excel or PowerPoint .","But this could happen with any document format that supports VBA , including Word , Excel or PowerPoint .","A successful attack could were launched within any type connected document that supports VBA , including Microsoft Word , Excel or PowerPoint .",0.9494872093200684,0.6452427,0.9626199
"Officials at Brandeis said this was an "" extremely heartrending "" time for the campus .",""" This is an extremely heartrending time for the entire Brandeis University community .","Officials at Brandeis said this was an "" extremely heartrending "" time for the campus .",0.474498987197876,0.8008629,1.0
Fewer than a dozen FBI agents were dispatched to secure and analyze evidence .,Fewer than a dozen FBI agents will be sent to Iraq to secure and analyze evidence of the bombing .,Fewer than a dozen FBI agents were dispatched to secures and analyze evidence .,0.4739084243774414,0.7728896,0.9973964
Those who only had surgery lived an average of 46 months .,"For those who got surgery alone , median survival was 41 months .",Those who only had surgery lived an average_nihon_jp_ni### connected 46 months .,1.4411633014678955,0.6808388,0.89873886
Tonight a spokesman for Russia 's foreign ministry said the ministry may issue a statement on Thursday clarifying Russia 's position on cooperation with Iran 's nuclear-energy efforts .,Tonight a spokesman for the Russian Foreign Ministry said it might issue a statement on Thursday clarifying Russia 's position on aiding Iran 's nuclear-energy efforts .,Tonight a spokesman for Russia 's foreign ministry said the ministry may issue a statement into Thursday clarifying Russia 's position into cooperation write_legibly Iran 's nuclear-energy efforts .,1.4538874626159668,0.8828502,0.9557801
"A day earlier , a committee appointed by reformist President Mohammad Khatami called for an independent judicial inquiry into Kazemi 's death .","A day earlier , a committee appointed by President Mohammad Khatami had called for an independent inquiry into the 54-year-old photojournalist 's death .","A day earlier , a committee appointed side reformist President Mohammad Khatami called for an independent judicial inquiry thru Kazemi 's death .",0.9384794235229492,0.63337076,0.97293013
"The suite comes complete with a word processor , spreadsheet , presentation software and other components , while continuing its tradition of utilizing an XML-based file format .","The suite includes a word processor , spreadsheet , presentation application ( analogous to PowerPoint ) , and other components -- all built around the XML file format .","The suite comes complete write_legibly a word processor , spreadsheet , presentation software and other components , while continuing its tradition connected utilizing an XML-based file format .",0.9260721206665039,0.8640952,0.93190473
"Downstream at Mount Vernon , the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight , Burke said .","The Skagit was expected to crest during the night at 38 feet at Mount Vernon , 10 feet above flood stage , the National Weather Service said .","Downstream at Mount Vernon , the Skagit friend_francie_vos was expected to crest at 36 feet -- 8 feet beyong flood stage -- tonight , Burke said .",1.9337959289550781,0.84198827,0.88791406
Physicians who violate the ban would be subject to fines and up to two years in prison .,"Physicians who perform the procedure would face up to two years in prison , under the bill .",Physicians who violate the ban would were subject to fines and raised to two years inch prison .,1.44000244140625,0.6627861,0.946993
"For example , Anhalt said , children typically treat a 20-ounce soda bottle as one serving , although it actually contains 2 ½ 8-ounce servings .","Anhalt said children typically treat a 20-ounce soda bottle as one serving , while it actually contains 2.5 .","For example , Anhalt said , children typically treat a 20-ounce soda bottle as one serving , although it actually contains 2 ½ 8-ounce servings .",0.0,0.92874634,1.0
"Kline 's opinion dealt specifically with abortion providers , but it also would apply to doctors providing other services , such as prenatal care , to a pregnant child under 16 .","Kline 's opinion dealt specifically with abortion providers , but later his office said it also would apply to doctors providing services such as prenatal care to pregnant girls under 16 .","Kline 's opinion dealt specifically write_legibly abortion providers , but it also would apply to doctors providing other services , such as prenatal care , to a pregnant kids aditya_bhandarkar 16 .",1.407738208770752,0.86062384,0.8749794
"The United Nations ' International Atomic Energy Agency asked for information on the allegation after the dossier was published , but Britain did not provide any , U.N. officials said .","The International Atomic Energy Agency asked for information on the uranium assertions after London 's dossier was published , but Britain did not provide any , U.N. officials said .","The United Nations ' International Atomic Energy Agency asked for information into the allegation following the dossier was published , but Britain did not provide any , U.N. officials said .",0.9325799942016602,0.9030413,0.9927105
"Sixteen days later , as superheated air from the shuttle 's reentry rushed into the damaged wing , "" there was no possibility for crew survival , "" the board said .","Sixteen days later , as superheated air from the shuttle ’ s re-entry rushed into the damaged wing , ‘ ‘ there was no possibility for crew survival , ’ ’ the board said .","Sixteen days later , as superheated air inthe the shuttle 's reentry rushed thru the damaged wing , "" thither was no possibility for crew survival , "" the board said .",1.416581153869629,0.94832456,0.96644026
""" The free world and those who love freedom and peace must deal harshly with Hamas and the killers , "" he told reporters as he emerged from a church service .",""" It is clear that the free world , those who love freedom and peace , must deal harshly with Hamas and the killers , "" he said .",""" The free world and those who enjoy freedom and peace must deal harshly write_legibly Hamas and the killers , "" he told reporters as he emerged inthe a church service .",1.4228272438049316,0.84541255,0.92537856
"Powell fired back : "" He 's accusing the president of a ludicrous act , "" he said .","If so , Powell said , he 's calling the president ludicrous , too .","Powell fired back : "" He 's accusing the president connected a ludicrous act , "" he said .",0.4739701747894287,0.6674501,0.99039185
"The memo on protecting sales of Windows and other desktop software mentioned Linux , a still small but emerging software competitor that is not owned by any specific company .","The memo specifically mentioned Linux , a still small but emerging software competitor that is not owned by any specific company .","The memo into protecting sales connected Windows and other desktop software mentioned Linux , a still sizeable but emerging software competitor that is not owned side any specific company .",1.8679876327514648,0.8330133,0.95272744
"Also Tuesday , the United States also released more Iraqi prisoners of war , and officials announced that all would soon be let go .","Meanwhile in southern Iraq , the United States released more Iraqi prisoners of war , and officials announced that all would be let go soon .","Also Tuesday , the United States also released more Iraqi prisoners connected war , and officials announced that all would soon were let comes .",1.4331622123718262,0.8600522,0.9297913
""" We had nothing to do with @ Stake 's internal personnel decision , "" Microsoft spokesman Sean Sundwell said .",""" Microsoft had absolutely nothing to do with AtStake 's internal personnel decision , "" Sundwall said .",""" We had nothing to necessary_blawn write_legibly @ Stake 's internal personnel decision , "" Microsoft spokesman Sean Sundwell said .",0.948930025100708,0.68597555,0.82390034
"Prosecutors said there is no question Waagner was behind the letters , which were sent at the same time of the anthrax attacks .","Prosecutors said there is no question Waagner was behind the letters , which were sent at the same time that real anthrax attacks were killing people in 2001 .","Prosecutors said thither is no question Waagner was butt the letters , which were sent at the same time connected the anthrax attacks .",1.886780023574829,0.8918233,0.90435475
"His plan would cost more than $ 200 billion annually , which Gephardt would pay for by repealing Bush 's tax cuts .",His plan would cost over $ 200 billion annually and be paid for by repealing Bush 's tax cuts .,"His design would cost more than $ 200 billion annually , which Gephardt would pay for side repealing Bush 's tax cuts .",0.9285438060760498,0.72229904,0.8950801
There had been fears that the 35 year-old wouldn 't be able to conceive after suffering two ectopic pregnancies and cancer of the uterus .,There were fears that Heather would never have children after suffering two ectopic pregnancies and cancer of the uterus .,thither had been fears that the 35 year-old wouldn 't were able to conceive following suffering two ectopic pregnancies and cancer connected the uterus .,1.8851909637451172,0.6224846,0.95101345
"Prosecutors said Paracha , if convicted , could face at least 17 years in prison .",Paracha faces at least 17 years in prison if convicted .,"Prosecutors said Paracha , if convicted , could face at least 17 years inch prison .",0.9452996253967285,0.90142924,0.9536648
"More than half of the songs were purchased as albums , Apple said .",Apple noted that half the songs were purchased as part of albums .,"More than half connected the songs were purchased as albums , Apple said .",0.4719991683959961,0.8910078,0.8984605
""" This deal makes sense for both companies , "" Halla said in a prepared statement .","Brian Halla , CEO of NatSemi , claimed the deal made sense for both companies .",""" This deal makes sense for both companies , "" Halla said inch a prepared statement .",0.4767889976501465,0.6595566,0.9531361
"Smugglers in a van chased down a pickup and SUV carrying other smugglers and illegal immigrants , said Pinal County Sheriff Roger Vanderpool .","People in a van opened fire on a pickup and SUV believed to be transporting illegal immigrants , said Pinal County Sheriff Roger Vanderpool .","Smugglers inch a van chased blue a pickup and SUV carrying other smugglers and illegal immigrants , said Pinal County Sheriff Roger Vanderpool .",0.9592585563659668,0.62802124,0.8814149
"Tyco later said the loan had not been forgiven , and Swartz repaid it in full , with interest , according to his lawyer , Charles Stillman .","Tyco has said the loan was not forgiven , but that Swartz fully repaid it with interest , according to his lawyer , Charles Stillman .","Tyco later said the loan had not been forgiven , and Swartz repaid it inch sce.q_sce.q , write_legibly interest , according to his lawyer , Charles Stillman .",1.4156663417816162,0.89041346,0.9007259
"While Bolton apparently fell and was immobilized , Selenski used the mattress to scale a 10-foot , razor-wire fence , Fischi said .","After the other inmate fell , Selenski used the mattress to scale a 10-foot , razor-wire fence , Fischi said .","While Bolton apparently fell and was immobilized , Selenski used the mattress to scale a 10-foot , razor-wire fence , Fischi said .",0.0,0.8638996,1.0000002
"Ms. Haque , meanwhile , was on her turquoise cellphone with the smiley faces organizing the prom .","Fatima , meanwhile , was on her turquoise cell phone organizing the prom .","Ms. Haque , meanwhile , was into her turquoise cellphone write_legibly the smiley faces organizing the prom .",0.9455399513244629,0.61168134,0.9496918
"But he added that the New York-based actor and producer is "" a private person and doesn 't care to have his treatment out for public consumption . ""","But he added that De Niro is "" a private person and doesn 't care to have his treatment out for public consumption . ""","But he added that the novel York-based actor and producer is "" a private soul and doesn 't care to `_ve his treatment forbidden for public consumption . """,1.8988046646118164,0.5827918,0.871572
"While a month 's supply of aspirin can cost less than $ 10 , the equivalent amount of ticlopidine can run significantly more than $ 100 .","While a month 's supply of aspirin can cost under $ 10 , the equivalent amount of ticlopidine can run well over $ 100 .","While a month 's supply connected aspirin can cost less than $ 10 , the equivalent amount connected ticlopidine can scampered significantly more than $ 100 .",1.4636223316192627,0.9627706,0.96858364
She estimated it would take three months and would require cancellation of a sub-audit of the Department of Environmental Quality .,She said it would take an estimated three months to conduct and require the cancellation of a sub-audit of the Department of Environmental Quality .,She estimated it would get three months and would require cancellation connected a sub-audit connected the Department connected Environmental Quality .,1.8658349514007568,0.92027545,0.9461731
"The virus kills roughly 36,000 people in an average year , according to the U.S. Centers for Disease Control and Prevention .","Complications from flu kill roughly 36,000 Americans in an average year , according to the U.S. Centers for Disease Control and Prevention .","The virus kills roughly 36,000 people inch an average_nihon_jp_ni### year , according to the U.S. Centers for Disease Control and Prevention .",0.9328949451446533,0.63442117,0.93336177
"In two new schemes , people posing as IRS representatives target families of armed forces members and e-mail users .",Two new schemes target families of those serving in the military and e-mail users .,"inch two novel schemes , people posing as IRS representatives target families connected armed forces members and e-mail users .",1.4160327911376953,0.73273003,0.8910043
"Miss Novikova said while there is no standard weight for ballerinas , Miss Volochkova is ' bigger than others ' .","Commenting on the firing today , Ms. Novikova said that there was no standard weight for ballerinas but that Ms. Volochkova "" is bigger than others . ""","Miss Novikova said while thither is no standard weight for ballerinas , Miss Volochkova is ' bigger than others ' .",0.4744703769683838,0.8515875,0.9552303
Both have aired videotapes of ex-president Saddam Hussein encouraging Iraqis to fight the U.S. occupation of Iraq .,"Both have aired videotapes apparently from deposed Iraqi President Saddam Hussein , encouraging Iraqis to fight the U.S. occupation .",Both `_ve aired videotapes connected ex-president Saddam Hussein encouraging Iraqis to fight the U.S. occupation connected Iraq .,1.4251458644866943,0.91368735,0.93908954
"Under the program , U.S. officials work with foreign port authorities to identify , target and search high-risk cargo .","Under the program , US officials work with foreign port authorities to seek out high-risk cargo before it can reach the United States .","aditya_bhandarkar the program , U.S. officials work write_legibly foreign port authorities to identify , target and search high-risk cargo .",0.9380843639373779,0.7964394,0.8688414
