Parent Embedding,Synonym-1 Embedding,Synonym-2 Embedding,Synonym-3 Embedding,Synonym-4 Embedding,Synonym-5 Embedding
"[0.10331335, 0.25417414, -0.3747616, 0.14934997, -0.2785889, -0.10001657, 0.05638069, -0.2964515, 0.00898149, 0.36226964, -0.25451103, 0.32310462, -0.31810603, 0.28305197, 0.22296964, 0.1617499, -0.15165289, -0.25422186, 0.10378821, 0.16216673]","[-0.03930676233202793, 0.09861670112149601, -0.21547260907536359, 0.10743787129336257, -0.08456720252601041, -0.22716233532298205, -0.04845773932038035, -0.39871950879645346, -0.1648821580135289, 0.2739513417425399, -0.25451103, 0.32310462, -0.31810603, 0.28305197, 0.22296964, 0.1617499, -0.15165289, -0.25422186, 0.10378821, 0.16216673]","[0.04872678771290992, 0.4195628551014552, -0.25524765565217405, 0.1769097864304232, -0.13523904911043239, 0.009045995768728804, 0.1939087704118968, -0.14458185390871087, 0.11959158745602645, 0.2810669856531176, -0.25451103, 0.32310462, -0.31810603, 0.28305197, 0.22296964, 0.1617499, -0.15165289, -0.25422186, 0.10378821, 0.16216673]","[0.25172181006937067, 0.13651566335247045, -0.2791608534401968, 0.30847094804218445, -0.0850696315243985, -0.1419713716339893, 0.18490453158226222, -0.19836898097462974, 0.09781000470045027, 0.2863353165722502, -0.25451103, 0.32310462, -0.31810603, 0.28305197, 0.22296964, 0.1617499, -0.15165289, -0.25422186, 0.10378821, 0.16216673]","[0.15748789696731794, 0.11815570679511617, -0.17682882666222954, -0.0234520182310389, -0.09878061868741878, -0.12409743785004398, -0.012233398192974046, -0.1975673595066778, 0.12478576184557612, 0.5517540149822985, -0.25451103, 0.32310462, -0.31810603, 0.28305197, 0.22296964, 0.1617499, -0.15165289, -0.25422186, 0.10378821, 0.16216673]","[-0.042558961072072604, 0.18855038888826897, -0.27524821291957835, 0.04289206263781947, -0.42986935480625627, -0.20099346654310504, -0.0016255451003922422, -0.16324131289895671, 0.0737705253252663, 0.3163122164811949, -0.25451103, 0.32310462, -0.31810603, 0.28305197, 0.22296964, 0.1617499, -0.15165289, -0.25422186, 0.10378821, 0.16216673]"
"[0.3470041, 0.21345916, -0.30736753, -0.19412312, -0.18526259, -0.19230545, 0.18102132, 0.23227091, -0.0947316, 0.3414673, -0.18046944, 0.19989274, 0.058379672, -0.32065976, 0.35167372, 0.35625884, -0.111585476, -0.026541077, 0.29048038, 0.18025856]","[0.2677355711851074, 0.12832895608872646, -0.21091928403593796, -0.2143969224258739, -0.2620961607178848, -0.026363040932045556, 0.15635341515981374, 0.14035051715032795, -0.06524790365451755, 0.255658992798369, -0.18046944, 0.19989274, 0.058379672, -0.32065976, 0.35167372, 0.35625884, -0.111585476, -0.026541077, 0.29048038, 0.18025856]","[0.3004604892860784, 0.20180867477901593, -0.21940149951397764, -0.17787848017980015, -0.29483085068716236, -0.08327208454325757, 0.1059277566529078, 0.11748658394083016, -0.2011389306291732, 0.17021945027339255, -0.18046944, 0.19989274, 0.058379672, -0.32065976, 0.35167372, 0.35625884, -0.111585476, -0.026541077, 0.29048038, 0.18025856]","[0.16577854449410068, 0.2959007041654108, -0.12950162883043076, -0.11234347723664243, -0.1886184905999823, -0.14266855871596126, 0.3193135030377797, 0.0358257885168326, -0.08592084899879657, 0.3219879064799205, -0.18046944, 0.19989274, 0.058379672, -0.32065976, 0.35167372, 0.35625884, -0.111585476, -0.026541077, 0.29048038, 0.18025856]","[0.2933008968876667, 0.06293039829034136, -0.23743165790712617, -0.3594936431685912, -0.307516619205048, -0.02196658080126901, 0.0025741627055759497, 0.04451157373900133, -0.1799862385756134, 0.16362895627734905, -0.18046944, 0.19989274, 0.058379672, -0.32065976, 0.35167372, 0.35625884, -0.111585476, -0.026541077, 0.29048038, 0.18025856]","[0.16793292789941852, 0.3419866496847247, -0.4167285598811462, -0.008314508231516943, -0.09575851881686515, -0.1855253621235075, 0.13098735399757178, 0.09494635848867214, 0.08822962217084837, 0.18976572978059153, -0.18046944, 0.19989274, 0.058379672, -0.32065976, 0.35167372, 0.35625884, -0.111585476, -0.026541077, 0.29048038, 0.18025856]"
"[0.07150248, 0.385467, -0.4377, 0.0819617, -0.28249294, -0.34614155, 0.057663985, 0.3680792, 0.2695895, 0.075703755, -0.2869246, 0.18890338, -0.047114357, -0.47296497, 0.43749082, 0.30263966, -0.40842482, 0.13551357, -0.09044115, 0.19301918]","[0.20663968030983665, 0.19951437894899476, -0.391252071296543, 0.07428960500767426, -0.21989197515548792, -0.2999890770648675, 0.1089137581224259, 0.2787253867026727, 0.256399249944379, -0.0902180721195021, -0.2869246, 0.18890338, -0.047114357, -0.47296497, 0.43749082, 0.30263966, -0.40842482, 0.13551357, -0.09044115, 0.19301918]","[-0.03248434265880017, 0.3171648366201981, -0.48621024908670674, 0.21764600472911863, -0.12803423700053346, -0.18674073252097056, 0.00044813735740223404, 0.24393060930250923, 0.08121128708034675, 0.20433045602243438, -0.2869246, 0.18890338, -0.047114357, -0.47296497, 0.43749082, 0.30263966, -0.40842482, 0.13551357, -0.09044115, 0.19301918]","[0.17054589615052385, 0.2198136923436479, -0.24981279783710608, 0.10396693363856424, -0.26471285306468906, -0.3751966857854563, -0.07522875904442419, 0.4245621942150866, 0.0790907211862398, -0.027887874638538243, -0.2869246, 0.18890338, -0.047114357, -0.47296497, 0.43749082, 0.30263966, -0.40842482, 0.13551357, -0.09044115, 0.19301918]","[0.2641530118639751, 0.1921020437705958, -0.2893954695311776, 0.08269355388127292, -0.25840480825636963, -0.19597957578356412, 0.13356023532759878, 0.44045693335660474, 0.17375143582909697, -0.12105006716260726, -0.2869246, 0.18890338, -0.047114357, -0.47296497, 0.43749082, 0.30263966, -0.40842482, 0.13551357, -0.09044115, 0.19301918]","[0.1499310703563015, 0.18693435585997376, -0.25041405838139635, 0.14860634764369415, -0.2865935300869132, -0.3115998717339947, 0.048500407405597135, 0.48874943964310447, 0.07719309908343969, 0.12628898397967864, -0.2869246, 0.18890338, -0.047114357, -0.47296497, 0.43749082, 0.30263966, -0.40842482, 0.13551357, -0.09044115, 0.19301918]"
"[0.20020258, 0.32750836, -0.29250124, -0.24282336, -0.05479026, -0.06399538, 0.21094297, 0.34201318, 0.28854874, 0.33754888, -0.14352655, 0.25585455, 0.096424684, -0.2608537, 0.25949672, 0.31541425, -0.07538393, 0.20250332, 0.36055884, 0.06295523]","[0.09898730171249724, 0.137476365205813, -0.21527609160890215, -0.2935148525990192, 0.14144541189646812, -0.09114212496565778, 0.22349480570776792, 0.2652061313138634, 0.17463595714847452, 0.17975865116816983, -0.14352655, 0.25585455, 0.096424684, -0.2608537, 0.25949672, 0.31541425, -0.07538393, 0.20250332, 0.36055884, 0.06295523]","[0.19950166760923765, 0.2023505525690889, -0.09877227157497115, -0.21742895309942514, -0.1699355296628549, -0.11178653961968878, 0.050496378402158926, 0.2238218119383485, 0.26845560372721305, 0.2728073870391111, -0.14352655, 0.25585455, 0.096424684, -0.2608537, 0.25949672, 0.31541425, -0.07538393, 0.20250332, 0.36055884, 0.06295523]","[0.38064673595717946, 0.21343903610990234, -0.16899596865369187, -0.273029029017115, 0.02813699392183603, -0.17927548367019286, 0.01799776354022742, 0.2091566960032104, 0.19272930323526483, 0.25547547267089343, -0.14352655, 0.25585455, 0.096424684, -0.2608537, 0.25949672, 0.31541425, -0.07538393, 0.20250332, 0.36055884, 0.06295523]","[0.06313632613977807, 0.17957572728227206, -0.42338121287698255, -0.07748202417321676, 0.10533688892520074, -0.19120705764682916, 0.2399905171967376, 0.2506391484090058, 0.290001476783341, 0.1448848409344691, -0.14352655, 0.25585455, 0.096424684, -0.2608537, 0.25949672, 0.31541425, -0.07538393, 0.20250332, 0.36055884, 0.06295523]","[0.09153686370686578, 0.4442601971752532, -0.2967720943116835, -0.23286410755321615, -0.1522700612493697, 0.0347110485611926, 0.06783797950489034, 0.20779503138795108, 0.1851561246768102, 0.2103170552269833, -0.14352655, 0.25585455, 0.096424684, -0.2608537, 0.25949672, 0.31541425, -0.07538393, 0.20250332, 0.36055884, 0.06295523]"
"[0.15260512, 0.24109258, -0.26775962, -0.270468, 0.019472115, -0.1335364, 0.032707557, 0.33955625, -0.119865745, 0.25962222, -0.26134405, 0.24583982, 0.1279464, -0.35498968, 0.37260646, 0.3045371, -0.23433498, 0.14457488, 0.2931229, 0.016579367]","[-0.010362928747319616, 0.15625086657259232, -0.09555320919657517, -0.09844813943161174, 0.012840183672498524, -0.22135203005482496, -0.07436660386734863, 0.3354542138081906, -0.014194656242508846, 0.3111202130327315, -0.26134405, 0.24583982, 0.1279464, -0.35498968, 0.37260646, 0.3045371, -0.23433498, 0.14457488, 0.2931229, 0.016579367]","[0.26005192248694287, 0.08292930584878119, -0.0745181412415587, -0.11300833226595935, 0.027565857037173836, -0.11810236956715242, 0.05395796038184686, 0.475568164726779, -0.009990639808924534, 0.18330177728245967, -0.26134405, 0.24583982, 0.1279464, -0.35498968, 0.37260646, 0.3045371, -0.23433498, 0.14457488, 0.2931229, 0.016579367]","[0.2560277483217953, 0.11425236858838739, -0.074685816234415, -0.19702558016033173, 0.009417288129944374, -0.05777687556623867, 0.05019006438579093, 0.22217640055671692, -0.21712741618416687, 0.4213546888000681, -0.26134405, 0.24583982, 0.1279464, -0.35498968, 0.37260646, 0.3045371, -0.23433498, 0.14457488, 0.2931229, 0.016579367]","[0.19829524114598543, 0.2315867396800357, -0.16697764122812458, -0.2320761645089615, -0.05779400309462952, -0.14691101062170647, -0.08485572174449763, 0.41284148318134073, -0.11689080653821651, 0.16097065050025505, -0.26134405, 0.24583982, 0.1279464, -0.35498968, 0.37260646, 0.3045371, -0.23433498, 0.14457488, 0.2931229, 0.016579367]","[0.13327014599737363, 0.17424406019350006, -0.33000042225353676, -0.08216172435703328, -0.044545164767914966, -0.3297161529437693, 0.2259335226534021, 0.19700548388221376, -0.021341382502672507, 0.25978211270934287, -0.26134405, 0.24583982, 0.1279464, -0.35498968, 0.37260646, 0.3045371, -0.23433498, 0.14457488, 0.2931229, 0.016579367]"
"[-0.11128258, 0.31782153, -0.26000673, -0.20079865, 0.13120107, -0.13247615, -0.1306533, 0.31757015, 0.2689775, 0.35346985, -0.2966691, 0.29364043, 0.14345312, -0.3116425, 0.28858644, 0.29649922, -0.22084981, 0.22567596, 0.20259136, -0.0941214]","[-0.09168149689939324, 0.2863939664748401, -0.2642660538863898, -0.027825417456870366, 0.17312120996376135, -0.23092227923902084, 0.059486801258817695, 0.15107993426881783, 0.09823159611830704, 0.2104876439986992, -0.2966691, 0.29364043, 0.14345312, -0.3116425, 0.28858644, 0.29649922, -0.22084981, 0.22567596, 0.20259136, -0.0941214]","[0.08317698517810636, 0.1839287855994951, -0.23288764287591224, -0.21620796533902062, -0.05675308540656096, -0.09944670220067608, -0.22787147408063652, 0.16094652838751627, 0.38240873693166844, 0.1732982026949878, -0.2966691, 0.29364043, 0.14345312, -0.3116425, 0.28858644, 0.29649922, -0.22084981, 0.22567596, 0.20259136, -0.0941214]","[-0.11833565517764401, 0.20619313468415812, -0.2727833386842611, -0.027028677499493864, 0.10055257437677997, -0.07964601152376258, -0.15112464705863943, 0.1909518015245843, 0.31371193012166204, 0.33979666575103684, -0.2966691, 0.29364043, 0.14345312, -0.3116425, 0.28858644, 0.29649922, -0.22084981, 0.22567596, 0.20259136, -0.0941214]","[-0.13335973337919393, 0.13296849977004807, -0.3706586095686097, -0.11236461576338905, 0.14191237848895932, -0.11651409346843403, -0.30801369753176655, 0.2556581962706663, 0.17954486331853536, 0.1576813503300265, -0.2966691, 0.29364043, 0.14345312, -0.3116425, 0.28858644, 0.29649922, -0.22084981, 0.22567596, 0.20259136, -0.0941214]","[0.02099154948183697, 0.32941028677262735, -0.3180165394352018, -0.11909196288764126, 0.061403783144860336, -0.03845379820028608, -0.1443305033927274, 0.3482011583769752, 0.22998278769915703, 0.16544122187141808, -0.2966691, 0.29364043, 0.14345312, -0.3116425, 0.28858644, 0.29649922, -0.22084981, 0.22567596, 0.20259136, -0.0941214]"
"[-0.13580292, -0.09304266, 0.040564198, 0.029595567, 0.28700224, -0.17808059, 0.059745874, -0.36374545, -0.2630646, -0.2095006, -0.26354897, -0.31421316, 0.057925012, 0.13985384, 0.30211377, 0.37511697, -0.3053038, 0.25831676, 0.21794039, -0.3350635]","[-0.09358527573207237, -0.03557174893639253, -0.02262808702815474, 0.13910230229035825, 0.22075843328458802, -0.15225452580181675, -0.02886782709211807, -0.22208707910018693, -0.15732629941620108, -0.0883470643349357, -0.26354897, -0.31421316, 0.057925012, 0.13985384, 0.30211377, 0.37511697, -0.3053038, 0.25831676, 0.21794039, -0.3350635]","[-0.13971164173947545, -0.2207586224694184, -0.023812311116058492, -0.011551496555793728, 0.17918336395861395, -0.1611221754174323, -0.11987224310234587, -0.18476936077287442, -0.10109738490768877, -0.0466914989491469, -0.26354897, -0.31421316, 0.057925012, 0.13985384, 0.30211377, 0.37511697, -0.3053038, 0.25831676, 0.21794039, -0.3350635]","[-0.10714993073652354, 0.006035029558823957, 0.12719071840501195, -0.09854293887243994, 0.25189493448111006, -0.051520708741946725, 0.23416925670216324, -0.19064678503880395, -0.11422813278584865, -0.04977037177732993, -0.26354897, -0.31421316, 0.057925012, 0.13985384, 0.30211377, 0.37511697, -0.3053038, 0.25831676, 0.21794039, -0.3350635]","[-0.1664636795970682, 0.09496855219030742, 0.09802160236484914, -0.03861898282932148, 0.20968800345493002, -0.0357836786630151, -0.05810891189663444, -0.3059758490525993, -0.1736374429840255, -0.08741445422787644, -0.26354897, -0.31421316, 0.057925012, 0.13985384, 0.30211377, 0.37511697, -0.3053038, 0.25831676, 0.21794039, -0.3350635]","[-0.2608749501410086, 0.021163308015278437, -0.06995821293061993, 0.117206482736901, 0.20059161363433956, -0.03673248418409328, 0.1832105026107039, -0.33074497373151646, -0.11590608092812049, -0.05308019459237748, -0.26354897, -0.31421316, 0.057925012, 0.13985384, 0.30211377, 0.37511697, -0.3053038, 0.25831676, 0.21794039, -0.3350635]"
"[0.2642867, -0.23234996, -0.2614324, 0.31869984, 0.20311771, -0.006006871, 0.07987065, -0.25126183, -0.25189787, -0.17316326, 0.21770866, -0.12438279, 0.36743367, -0.21297587, 0.00945479, 0.34519327, -0.30151922, -0.23362157, 0.18534271, -0.18029886]","[0.09702611572643607, -0.11621600194180068, -0.20864127367058782, 0.2609559941756914, 0.21856856965138444, -0.09138469275301488, -0.05067411575217577, -0.14258220901254637, -0.1772954088129402, -0.14603794654795, 0.21770866, -0.12438279, 0.36743367, -0.21297587, 0.00945479, 0.34519327, -0.30151922, -0.23362157, 0.18534271, -0.18029886]","[0.18678189409874632, -0.14960898236629347, -0.16843492971899698, 0.36910363899680126, 0.10199351704052574, 0.09014855185806223, 0.09302924464286673, -0.06389267660248638, -0.14180831188835308, -0.21130124206119077, 0.21770866, -0.12438279, 0.36743367, -0.21297587, 0.00945479, 0.34519327, -0.30151922, -0.23362157, 0.18534271, -0.18029886]","[0.10388896267445724, -0.31295421363313985, -0.10104871880607103, 0.22042814774860114, 0.19689749298668466, -0.00032570923029468304, 0.04591180771681479, -0.13182962555164435, -0.23239877361673134, -0.24668613904587094, 0.21770866, -0.12438279, 0.36743367, -0.21297587, 0.00945479, 0.34519327, -0.30151922, -0.23362157, 0.18534271, -0.18029886]","[0.21702022838923768, -0.046947787813942515, -0.1616125775695586, 0.2601662245901303, 0.2565028334575016, -0.20576203034712345, 0.025634655819255295, -0.2261443509889729, -0.3274410943971896, -0.017017208533428724, 0.21770866, -0.12438279, 0.36743367, -0.21297587, 0.00945479, 0.34519327, -0.30151922, -0.23362157, 0.18534271, -0.18029886]","[0.20818616483126154, -0.1077250502204172, -0.2023375487975314, 0.16622173270845575, 0.12200734247143583, 0.15780510090734448, 0.11201718971993928, -0.08760646722190124, -0.3234302993013868, -0.35956462072944106, 0.21770866, -0.12438279, 0.36743367, -0.21297587, 0.00945479, 0.34519327, -0.30151922, -0.23362157, 0.18534271, -0.18029886]"
"[0.0046663242, 0.34757498, -0.2580504, 0.16338694, -0.31115735, -0.23727706, 0.19114938, -0.34861773, 0.12700826, 0.28299725, -0.28769606, 0.27283934, -0.2525732, 0.25155497, 0.31798667, -0.14644669, -0.029340642, -0.29443923, -0.024462357, 0.14118907]","[-0.12385752008289654, 0.28290091335911877, -0.08524084422331613, 0.12031505871846115, -0.24150587597066792, -0.06747720033285656, 0.13457625446608085, -0.23751048919869666, 0.009321364249304562, 0.1757300069733816, -0.28769606, 0.27283934, -0.2525732, 0.25155497, 0.31798667, -0.14644669, -0.029340642, -0.29443923, -0.024462357, 0.14118907]","[0.017840969842814122, 0.3020769404845566, -0.0671227475255573, 0.24964515107367083, -0.4562848447490919, -0.08793255865689678, 0.05654683078684533, -0.20349863523630268, -0.05458687782517713, 0.22227011467421431, -0.28769606, 0.27283934, -0.2525732, 0.25155497, 0.31798667, -0.14644669, -0.029340642, -0.29443923, -0.024462357, 0.14118907]","[-0.07564817816830602, 0.34303385255983665, -0.1764631095328435, 0.11287739927620183, -0.2852830922410389, -0.24994377295085377, 0.15729589813188283, -0.29859939696869325, 0.1306121353091754, 0.18297134811952662, -0.28769606, 0.27283934, -0.2525732, 0.25155497, 0.31798667, -0.14644669, -0.029340642, -0.29443923, -0.024462357, 0.14118907]","[0.09248611470351485, 0.19962683969761197, -0.4485066934777668, 0.04143879430347161, -0.4130673864314383, -0.04149309782172342, 0.08689881108534608, -0.1540021730286743, 0.05738049015597685, 0.19458207975338215, -0.28769606, 0.27283934, -0.2525732, 0.25155497, 0.31798667, -0.14644669, -0.029340642, -0.29443923, -0.024462357, 0.14118907]","[0.07899729793049286, 0.43339630133423757, -0.3154735203352971, 0.2719871324563409, -0.1287052901976723, -0.1954865864735997, 0.14517664508937878, -0.16777701608845447, 0.06547981883890841, 0.222334828668917, -0.28769606, 0.27283934, -0.2525732, 0.25155497, 0.31798667, -0.14644669, -0.029340642, -0.29443923, -0.024462357, 0.14118907]"
"[-0.21172918, 0.4316258, 0.16124095, 0.36718184, 0.25088328, 0.3590674, 0.47198477, 0.030402532, -0.19073653, -0.20318508, 0.3442488, 0.2040766, 0.24006084, 0.25274274, 0.047837473, -0.3289795, -0.002884788, 0.46089426, 0.17958432, -0.24420871]","[-0.06204254845840576, 0.3515190663253407, 0.05246580852990548, 0.38701074511325967, 0.13525483494090462, 0.4000609989218097, 0.2761121160180335, 0.16885757953922073, -0.019577576924190238, -0.14580058294867035, 0.3442488, 0.2040766, 0.24006084, 0.25274274, 0.047837473, -0.3289795, -0.002884788, 0.46089426, 0.17958432, -0.24420871]","[-0.21160031692084558, 0.2494028927732656, 0.2001892488198901, 0.2479673797386665, 0.2363361788635248, 0.16127908550801828, 0.5468570053665243, -0.15241658224450433, -0.04822888881693163, -0.14295033852035618, 0.3442488, 0.2040766, 0.24006084, 0.25274274, 0.047837473, -0.3289795, -0.002884788, 0.46089426, 0.17958432, -0.24420871]","[-0.16360861596148762, 0.3169606659591536, 0.23008106807764267, 0.32207974710310255, 0.3404928209836611, 0.22522986183383426, 0.30565447654547534, 0.1386981025732191, -0.21475827966029717, -0.33989430123290754, 0.3442488, 0.2040766, 0.24006084, 0.25274274, 0.047837473, -0.3289795, -0.002884788, 0.46089426, 0.17958432, -0.24420871]","[-0.13253399174696825, 0.613279289840768, -0.011794273205384453, 0.29448340193298705, 0.06015325122031265, 0.25283492664629115, 0.4274483865158609, 0.053602533378349096, -0.07125721513135538, -0.17998308530737311, 0.3442488, 0.2040766, 0.24006084, 0.25274274, 0.047837473, -0.3289795, -0.002884788, 0.46089426, 0.17958432, -0.24420871]","[-0.30000189673793554, 0.5374467189141394, 0.1860463641199677, 0.21927663607843953, 0.28892764929569426, 0.24497003096536044, 0.37082715412546696, -0.07125164235163083, -0.167003298631924, -0.06170585552220045, 0.3442488, 0.2040766, 0.24006084, 0.25274274, 0.047837473, -0.3289795, -0.002884788, 0.46089426, 0.17958432, -0.24420871]"
"[0.23743565, -0.16230103, -0.28334948, -0.21407548, -0.29298323, -0.17663594, 0.16948648, -0.17290422, 0.2903229, 0.23139301, 0.17463689, -0.33567792, -0.31450436, -0.31728938, -0.120603725, -0.28627312, -0.16633114, 0.34783816, -0.19589083, -0.3008953]","[0.21598474001647452, -0.0903461831635014, -0.13302400871034115, -0.34950284130669684, -0.1871112121830184, -0.097178619976799, 0.13823323993970132, -0.007892099787578322, 0.38211289001852544, 0.10446693875406615, 0.17463689, -0.33567792, -0.31450436, -0.31728938, -0.120603725, -0.28627312, -0.16633114, 0.34783816, -0.19589083, -0.3008953]","[0.27741746079042406, -0.12502177162509906, -0.11844936841408482, -0.03427526000020917, -0.09820807728962377, -0.04262743985604195, 0.06932615107316215, -0.35333008463529175, 0.4214327911814809, 0.15775402356045026, 0.17463689, -0.33567792, -0.31450436, -0.31728938, -0.120603725, -0.28627312, -0.16633114, 0.34783816, -0.19589083, -0.3008953]","[0.23882038836628564, -0.3031432468417549, -0.20165934964723148, -0.12562844907113282, -0.24045698705436486, 0.0017468488463729392, 0.3436366196002583, -0.19036250864134435, 0.10944636822601178, 0.1511680876569389, 0.17463689, -0.33567792, -0.31450436, -0.31728938, -0.120603725, -0.28627312, -0.16633114, 0.34783816, -0.19589083, -0.3008953]","[0.0435863814968247, -0.2294584425792007, -0.32814229488352276, -0.20376370971070193, -0.113907298716656, -0.0012985063080690473, 0.2409085895421365, -0.2548977228949334, 0.10187421693549797, 0.3250212885385646, 0.17463689, -0.33567792, -0.31450436, -0.31728938, -0.120603725, -0.28627312, -0.16633114, 0.34783816, -0.19589083, -0.3008953]","[0.23775521211482722, -0.24559520585676126, -0.3560354282885698, -0.018944070045994715, -0.22959037891026834, 0.0011066334804077926, 0.015374866605719045, -0.1809442289755722, 0.16602015676764592, 0.31831845158654315, 0.17463689, -0.33567792, -0.31450436, -0.31728938, -0.120603725, -0.28627312, -0.16633114, 0.34783816, -0.19589083, -0.3008953]"
"[0.2613653, -0.022803703, -0.24582492, 0.18282582, -0.12062528, -0.21299265, 0.04086209, 0.17269588, 0.15588172, 0.36692336, 0.36314192, -0.28593263, -0.18859583, 0.17368029, -0.0384713, 0.3653448, -0.39422444, 0.080214925, -0.30404177, 0.34061396]","[0.089892449741441, 0.11111137555009237, -0.2500594390315919, 0.15201974918824504, 0.0256604489734924, -0.04403967544248383, 0.039573282726010774, 0.37215136304899, 0.1660278744369598, 0.20356671011970096, 0.36314192, -0.28593263, -0.18859583, 0.17368029, -0.0384713, 0.3653448, -0.39422444, 0.080214925, -0.30404177, 0.34061396]","[0.1348424978182849, 0.14807403468489794, -0.23175626469828167, 0.060162908280960395, -0.29377102519471404, -0.02292491793259782, 0.016892193871766832, 0.14243427869898959, 0.28840146716275833, 0.19402632301174347, 0.36314192, -0.28593263, -0.18859583, 0.17368029, -0.0384713, 0.3653448, -0.39422444, 0.080214925, -0.30404177, 0.34061396]","[0.21566062741350517, 0.07722573279100903, -0.23623092651625582, 0.04644927850806499, -0.20504758942012308, -0.1398707796289837, -0.11951327390945998, 0.32672448301980417, 0.041759712361115794, 0.20675915833045072, 0.36314192, -0.28593263, -0.18859583, 0.17368029, -0.0384713, 0.3653448, -0.39422444, 0.080214925, -0.30404177, 0.34061396]","[0.27943526326326096, -0.18689579924617375, -0.2461272065761333, 0.21113131406358465, -0.09633037776485973, -0.25277144059644807, 0.1839441854803325, 0.10140886446683589, -0.01723848829937072, 0.17568752486583622, 0.36314192, -0.28593263, -0.18859583, 0.17368029, -0.0384713, 0.3653448, -0.39422444, 0.080214925, -0.30404177, 0.34061396]","[0.14257817039378046, -0.0787333564101586, -0.24507539270324866, 0.270809465446204, 0.0512086546042288, -0.12396766265376707, 0.18853055344111483, -0.019870033690943645, 0.029403853109729816, 0.39423135441850615, 0.36314192, -0.28593263, -0.18859583, 0.17368029, -0.0384713, 0.3653448, -0.39422444, 0.080214925, -0.30404177, 0.34061396]"
"[0.053753138, 0.3820281, -0.10163593, -0.2457678, 0.10966395, 0.17948155, 0.09628517, 0.4433681, 0.06579513, 0.14383169, -0.41150987, 0.016236415, 0.3635292, -0.019828318, 0.37328765, 0.3579247, -0.09431849, 0.41420105, 0.41364613, -0.25437152]","[0.1508169955830472, 0.3059221660503837, 0.012742932279239547, -0.11687199989967559, 0.12902587913291036, 0.26514880572568145, 0.18545171328888957, 0.2747986634793898, 0.06803688760005085, 0.1446498475070982, -0.41150987, 0.016236415, 0.3635292, -0.019828318, 0.37328765, 0.3579247, -0.09431849, 0.41420105, 0.41364613, -0.25437152]","[0.00869062628170033, 0.285379618119872, -0.2326790028704544, -0.21966158047886108, 0.2767046081376696, 0.040382833900239445, -0.016340621961989474, 0.2892419627863172, 0.09885655155840649, 0.08805038595813819, -0.41150987, 0.016236415, 0.3635292, -0.019828318, 0.37328765, 0.3579247, -0.09431849, 0.41420105, 0.41364613, -0.25437152]","[0.08593790859044043, 0.38020280702952935, 0.00767503108237276, -0.15441292576831625, 0.043685528036411334, 0.28284452743041383, -0.10354015909506623, 0.29706307041239544, 0.10258484200029867, -0.03180069074449399, -0.41150987, 0.016236415, 0.3635292, -0.019828318, 0.37328765, 0.3579247, -0.09431849, 0.41420105, 0.41364613, -0.25437152]","[0.20078842601171862, 0.19951929155301829, -0.25885324832754025, -0.17571900811577637, -0.03935478068856098, 0.14741542632998308, -0.038856851585820695, 0.38317847209567957, 0.15298822481233143, 0.01798111732019836, -0.41150987, 0.016236415, 0.3635292, -0.019828318, 0.37328765, 0.3579247, -0.09431849, 0.41420105, 0.41364613, -0.25437152]","[0.060142344893321785, 0.2746673992025663, -0.11871732024632063, -0.13484546389784344, 0.09497156133024325, 0.30348946544111804, -0.09563352225769697, 0.2862464009551929, 0.18728658168889156, 0.23780835157290736, -0.41150987, 0.016236415, 0.3635292, -0.019828318, 0.37328765, 0.3579247, -0.09431849, 0.41420105, 0.41364613, -0.25437152]"
